Institute ID,Name,City,State,Score,TLR,RPC,GO,OI,PERCEPTION,Year,Year_rank
IR-M-S-8890,Indian Institute of Management Ahmedabad,Ahmedabad,Gujarat,83.69,91.41,65.09,99.43,70.01,98.53,2021,1
IR-M-S-8903,Indian Institute of Management Bangalore,Bengaluru,Karnataka,83.48,91.53,63.43,98.99,71.88,100.0,2021,2
IR-M-S-8972,Indian Institute of Management Calcutta,Kolkata,West Bengal,80.04,87.33,58.14,98.1,72.9,94.87,2021,3
IR-M-S-8909,Indian Institute of Management Kozhikode,Kozhikode,Kerala,73.34,81.37,52.04,95.38,68.28,74.1,2021,4
IR-M-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,72.15,67.47,76.71,86.18,59.33,57.31,2021,5
IR-M-S-8918,Indian Institute of Management Indore,Indore,Madhya Pradesh,71.1,81.54,50.74,93.98,66.29,59.91,2021,6
IR-M-S-8959,Indian Institute of Management Lucknow,Lucknow,Uttar Pradesh,71.02,84.54,41.12,94.84,68.06,75.51,2021,7
IR-M-S-132,Xavier Labour Relations Institute (XLRI),Jamshedpur,Jharkhand,69.93,87.8,39.37,98.38,67.33,53.66,2021,8
IR-M-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,69.5,62.46,75.87,90.66,51.02,47.68,2021,9
IR-M-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,68.08,86.23,49.98,85.26,57.51,44.16,2021,10
IR-M-I-1170,Management Development Institute,Gurugram,Haryana,67.59,78.04,49.36,95.55,69.81,32.8,2021,11
IR-M-S-8931,"National Institute of Industrial Engineering, Mumbai",Mumbai,Maharashtra,64.52,73.05,49.9,93.47,67.69,21.81,2021,12
IR-M-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,64.32,67.24,57.1,78.44,62.13,51.25,2021,13
IR-M-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,63.79,57.49,76.37,80.11,57.56,18.54,2021,14
IR-M-S-8868,Indian Institute of Management Raipur,Raipur,Chhattisgarh,62.12,79.91,35.73,90.13,71.0,23.05,2021,15
IR-M-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,61.31,67.6,54.16,83.12,56.22,25.42,2021,16
IR-M-S-8948,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,Tamil Nadu,61.1,76.15,28.66,86.12,62.82,61.64,2021,17
IR-M-S-8942,Indian Institute of Management Udaipur,Udaipur,Rajasthan,60.94,79.24,34.91,84.46,70.4,27.67,2021,18
IR-M-I-1044,S. P. Jain Institute of Management & Research,Mumbai,Maharashtra,58.73,74.82,22.49,99.16,70.37,26.56,2021,19
IR-M-C-19343,Symbiosis Institute of Business Management,Pune,Maharashtra,58.64,79.53,19.99,94.97,67.56,30.32,2021,20
IR-M-S-8904,Indian Institute of Management Ranchi,Ranchi,Jharkhand,58.26,71.44,25.54,91.75,72.58,35.61,2021,21
IR-M-N-10,SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,57.53,77.77,21.57,92.07,69.48,23.66,2021,22
IR-M-S-8937,Indian Institute of Management Shillong,Shillong,Meghalaya,56.87,70.29,18.79,93.21,77.6,37.38,2021,23
IR-M-N-16,Great Lakes Institute of Management,Chennai,Tamil Nadu,56.75,84.52,19.46,84.54,66.6,19.88,2021,24
IR-M-U-0102,Indian Institute of Foreign Trade,New Delhi,Delhi,56.59,79.06,18.18,85.64,59.54,43.41,2021,25
IR-M-I-1064,International Management Institute,New Delhi,Delhi,56.26,68.62,31.02,87.5,70.06,18.54,2021,26
IR-M-U-0012,ICFAI Foundation for Higher Education,Hyderabad,Telangana,55.82,73.96,31.74,76.98,75.99,11.11,2021,27
IR-M-S-8895,Indian Institute of Management Rohtak,Rohtak,Haryana,55.4,56.43,35.03,88.05,75.82,27.67,2021,28
IR-M-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,55.09,68.77,46.74,67.7,56.34,12.71,2021,29
IR-M-U-0205,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,54.54,72.69,43.64,59.17,53.32,24.84,2021,30
IR-M-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,54.35,76.28,21.5,80.13,76.37,13.48,2021,31
IR-M-S-156,T. A. Pai Management Institute Manipal,Manipal,Karnataka,54.08,66.02,26.94,86.13,67.85,21.81,2021,32
IR-M-S-8967,Indian Institute of Management Kashipur,Kashipur,Uttarakhand,53.1,65.05,26.53,86.13,62.1,21.81,2021,33
IR-M-U-0715,Xavier University,Bhubaneswar,Odisha,53.05,68.29,22.13,91.99,53.96,21.18,2021,34
IR-M-S-87,Goa Institute of Management,Sanquelim,Goa,52.75,71.6,17.3,84.98,75.12,15.73,2021,35
IR-M-U-0108,Jamia Millia Islamia,New Delhi,Delhi,52.39,65.25,32.45,75.78,67.99,11.11,2021,36
IR-M-U-0379,Lovely Professional University,Phagwara,Punjab,51.85,73.17,33.66,57.63,67.66,14.99,2021,37
IR-M-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,51.61,68.23,46.13,49.97,68.12,4.99,2021,38
IR-M-S-394,"Institute of Management Technology, Ghaziabad",Ghaziabad,Uttar Pradesh,51.61,70.3,23.62,81.92,58.73,11.92,2021,38
IR-M-S-15962,Indian Institute of Management,Nagpur,Maharashtra,50.62,72.82,5.15,86.53,64.91,34.23,2021,40
IR-M-U-0735,BML Munjal University,Gurgaon,Haryana,50.05,67.73,23.78,76.49,66.16,6.84,2021,41
IR-M-I-1480,Thapar Institute of Engineering and Technology,Patiala,Punjab,49.76,62.91,38.92,58.21,63.79,11.92,2021,42
IR-M-I-1066,Fore School of Management,New Delhi,Delhi,49.34,68.95,11.43,86.64,65.54,13.48,2021,43
IR-M-S-354,Birla Institute of Management Technology,Greater Noida,Uttar Pradesh,48.83,67.15,12.37,82.73,71.46,12.71,2021,44
IR-M-U-0747,Chandigarh University,Mohali,Punjab,48.57,69.97,12.71,65.47,81.38,25.42,2021,45
IR-M-U-0564,University of Petroleum and Energy Studies,Dehradun,Uttarakhand,48.47,69.62,28.32,63.1,63.64,1.05,2021,46
IR-M-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,47.89,55.85,27.42,78.26,52.04,20.53,2021,47
IR-M-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,47.71,40.84,39.01,74.19,63.2,25.99,2021,48
IR-M-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,47.64,57.89,36.63,68.96,44.61,10.29,2021,49
IR-M-I-1238,KREA University,"Sri City, Chittoor",Andhra Pradesh,47.58,72.03,4.34,84.06,73.59,4.99,2021,50
IR-M-U-0099,Guru Gobind Singh Indraprastha University,New Delhi,Delhi,47.54,59.63,21.91,75.27,52.63,27.67,2021,51
IR-M-I-1408,International Management Institute,Kolkata,West Bengal,47.48,69.51,12.48,79.77,63.36,5.93,2021,52
IR-M-C-37013,PSG College of Technology,Coimbatore,Tamil Nadu,47.09,59.52,15.85,74.94,51.75,43.04,2021,53
IR-M-U-0373,Chitkara University,Rajpura,Punjab,47.06,70.05,15.35,65.91,70.67,11.92,2021,54
IR-M-S-92,Institute of Rural Management Anand,Anand,Gujarat,46.87,60.79,14.14,82.52,60.4,18.54,2021,55
IR-M-S-220,K.J.Somaiya Institute Of Management,Mumbai,Maharashtra,46.68,69.24,8.13,83.48,59.05,8.6,2021,56
IR-M-U-0439,Anna University,Chennai,Tamil Nadu,46.62,47.31,40.72,51.16,50.81,49.02,2021,57
IR-M-U-0267,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,Gwalior,Madhya Pradesh,46.58,70.99,23.76,57.61,52.84,13.48,2021,58
IR-M-S-3283,Jaipuria Institute of Management,Noida,Uttar Pradesh,46.32,64.6,10.3,78.58,67.81,13.48,2021,59
IR-M-U-0213,Alliance University,Bengaluru,Karnataka,46.23,70.3,7.5,78.2,68.5,4.04,2021,60
IR-M-S-6,Indian Institute of Management Sambalpur,Sambalpur,Odisha,46.17,60.5,9.82,80.87,63.61,25.42,2021,61
IR-M-I-1124,International Management Institute Bhubaneswar,Bhubaneswar,Odisha,46.08,71.14,9.59,73.91,66.83,4.04,2021,62
IR-M-I-1132,Institute of Management Technology,Hyderabad,Telangana,46.04,65.13,10.11,75.25,69.2,14.99,2021,63
IR-M-U-0555,Graphic Era University,Dehradun,Uttarakhand,45.16,58.8,26.7,55.75,66.42,17.16,2021,64
IR-M-S-331,Loyola Institute of Business Administration,Chennai,Tamil Nadu,44.74,57.71,6.57,80.44,56.83,36.94,2021,65
IR-M-U-0147,Pandit Deendayal Petroleum University,Gandhinagar,Gujarat,44.56,65.62,19.26,68.01,53.92,1.05,2021,66
IR-M-S-16881,"Indian Institute of Management, Amritsar",Amritsar,Punjab,44.53,49.83,10.18,88.36,66.77,21.81,2021,67
IR-M-S-419,"Jaipuria Institute of Management, Lucknow",Lucknow,Uttar Pradesh,44.32,65.49,4.06,80.8,57.91,14.99,2021,68
IR-M-I-1156,Bharati Vidyapeeth's Institute of Management and Entrepreneurship Development,Pune,Maharashtra,43.99,66.11,0.24,75.12,75.04,15.73,2021,69
IR-M-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,43.95,57.78,22.29,60.02,58.07,21.18,2021,70
IR-M-C-32855,Jagan Institute of Management Studies,Delhi,Delhi,43.92,63.92,3.96,80.6,69.34,4.99,2021,71
IR-M-C-34129,Principal L N Welingkar Institute of Management Development and Research,Mumbai,Maharashtra,43.73,66.21,6.11,78.1,58.34,5.93,2021,72
IR-M-U-0851,IIHMR University,Jaipur,Rajasthan,43.44,64.29,7.49,71.36,74.17,2.07,2021,73
IR-M-S-309,Jaipuria Institute of Management,Jaipur,Rajasthan,43.32,68.57,6.21,72.19,57.7,6.84,2021,74
IR-M-I-1058,Indian Institute of Forest Management,Bhopal,Madhya Pradesh,43.22,69.04,3.0,72.77,56.36,14.24,2021,75
IR-M-S-8890,Indian Institute of Management Ahmedabad,Ahmedabad,Gujarat,82.75,92.87,63.06,98.46,66.78,95.99,2020,1
IR-M-S-8903,Indian Institute of Management Bangalore,Bengaluru,Karnataka,81.32,91.46,57.43,98.48,69.45,100.0,2020,2
IR-M-S-8972,Indian Institute of Management Calcutta,Kolkata,West Bengal,80.39,90.68,56.79,97.18,71.85,95.26,2020,3
IR-M-S-8959,Indian Institute of Management Lucknow,Lucknow,Uttar Pradesh,73.85,86.93,48.58,93.71,71.35,73.17,2020,4
IR-M-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,70.43,63.67,72.34,89.66,68.45,48.63,2020,5
IR-M-S-8909,Indian Institute of Management Kozhikode,Kozhikode,Kerala,69.96,81.27,44.07,94.41,63.24,71.63,2020,6
IR-M-S-8918,Indian Institute of Management Indore,Indore,Madhya Pradesh,69.04,83.18,43.42,93.74,67.49,55.67,2020,7
IR-M-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,67.19,58.85,72.08,81.33,62.55,53.97,2020,8
IR-M-S-132,Xavier Labour Relations Institute (XLRI),Jamshedpur,Jharkhand,67.11,87.81,31.6,98.15,64.0,52.64,2020,9
IR-M-I-1170,Management Development Institute,Gurugram,Haryana,65.95,79.56,46.04,94.54,69.12,24.51,2020,10
IR-M-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,65.76,74.93,51.74,86.46,59.65,45.02,2020,11
IR-M-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,62.87,56.75,75.17,76.86,59.0,20.34,2020,12
IR-M-S-8931,National Institute of Industrial Engineering,Mumbai,Maharashtra,62.87,77.51,43.86,92.77,66.83,12.3,2020,12
IR-M-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,61.77,67.19,48.9,79.17,59.09,51.96,2020,14
IR-M-S-8948,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,Tamil Nadu,60.79,77.93,23.77,89.15,65.37,59.08,2020,15
IR-M-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,60.53,70.79,49.79,79.81,58.94,24.95,2020,16
IR-M-S-8942,Indian Institute of Management Udaipur,Udaipur,Rajasthan,59.57,82.11,30.12,84.23,69.23,21.3,2020,17
IR-M-I-1044,S. P. Jain Institute of Management and Research,Mumbai,Maharashtra,56.93,73.32,21.8,97.99,71.12,16.78,2020,18
IR-M-S-8868,Indian Institute of Management Raipur,Raipur,Chhattisgarh,56.12,70.51,28.83,90.07,67.91,15.15,2020,19
IR-M-S-8904,Indian Institute of Management Ranchi,Ranchi,Jharkhand,55.97,70.4,18.91,92.07,68.82,38.92,2020,20
IR-M-S-8895,Indian Institute of Management Rohtak,Rohtak,Haryana,55.91,63.8,32.83,88.68,71.99,19.85,2020,21
IR-M-C-19343,Symbiosis Institute of Business Management,Pune,Maharashtra,55.82,79.78,14.76,94.56,66.62,18.85,2020,22
IR-M-N-16,Great Lakes Institute of Management,Chennai,Tamil Nadu,55.8,83.89,16.46,84.14,68.75,19.85,2020,23
IR-M-N-10,SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,55.44,77.88,18.05,90.2,69.48,16.78,2020,24
IR-M-U-0012,ICFAI Foundation for Higher Education,Hyderabad,Telangana,55.21,70.7,34.08,72.38,76.2,16.78,2020,25
IR-M-U-0102,Indian Institute of Foreign Trade,New Delhi,Delhi,55.01,74.9,18.22,86.23,58.0,40.15,2020,26
IR-M-S-156,T. A. Pai Management Institute,Manipal,Karnataka,54.85,71.19,23.44,85.65,69.71,23.62,2020,27
IR-M-I-1064,International Management Institute,New Delhi,Delhi,54.65,70.75,27.85,85.77,66.38,12.88,2020,28
IR-M-U-0205,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,53.71,72.92,44.32,53.02,56.63,22.71,2020,29
IR-M-S-8937,Indian Institute of Management Shillong,Shillong,Meghalaya,53.56,72.49,12.46,91.82,58.51,38.61,2020,30
IR-M-N-354,Xavier Institute of Management (XIMB),Bhubaneswar,Odisha,52.55,67.49,18.62,91.76,52.95,30.66,2020,31
IR-M-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,52.15,72.68,17.87,77.97,74.64,19.35,2020,32
IR-M-S-8967,Indian Institute of Management Kashipur,Kashipur,Uttarakhand,52.07,67.09,24.88,84.06,60.48,16.24,2020,33
IR-M-U-0108,Jamia Millia Islamia,New Delhi,Delhi,51.41,65.78,27.65,75.45,73.76,9.23,2020,34
IR-M-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,50.49,47.47,40.13,75.43,66.73,24.51,2020,35
IR-M-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,49.51,65.41,20.94,77.96,59.88,20.34,2020,36
IR-M-S-394,Institute of Management Technology,Ghaziabad,Uttar Pradesh,48.27,65.0,19.31,78.25,62.15,11.1,2020,37
IR-M-U-0735,BML Munjal University,Gurgaon,Haryana,48.27,69.74,19.34,75.13,64.43,0.79,2020,37
IR-M-U-0213,Alliance University,Bengaluru,Karnataka,47.47,70.01,9.44,81.67,65.23,7.93,2020,39
IR-M-S-15962,Indian Institute of Management,Nagpur,Maharashtra,47.38,66.35,3.15,86.44,63.33,29.1,2020,40
IR-M-U-0497,Amity University Noida,Gautam Budh Nagar,Uttar Pradesh,47.35,65.72,32.47,51.86,64.14,11.1,2020,41
IR-M-U-0078,Panjab University,Chandigarh,Chandigarh,47.22,64.89,19.59,74.96,60.93,7.93,2020,42
IR-M-I-1066,FORE School of Management,New Delhi,Delhi,47.11,62.21,12.93,85.09,62.0,13.46,2020,43
IR-M-U-0146,Nirma University,Ahmedabad,Gujarat,46.75,74.6,9.04,72.37,63.32,8.59,2020,44
IR-M-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,46.71,61.42,28.82,69.89,47.94,8.59,2020,45
IR-M-C-37013,PSG College of Technology,Coimbatore,Tamil Nadu,46.69,61.69,17.06,74.98,51.94,28.71,2020,46
IR-M-S-354,Birla Institute of Management Technology,Greater Noida,Uttar Pradesh,46.65,65.03,9.69,81.75,70.85,7.93,2020,47
IR-M-S-87,Goa Institute of Management,Sanquelim,Goa,46.63,66.07,12.54,74.21,68.63,13.46,2020,48
IR-M-U-0379,Lovely Professional University,Phagwara,Punjab,46.58,71.79,21.32,57.99,70.53,0.0,2020,49
IR-M-S-331,Loyola Institute of Business Administration,Chennai,Tamil Nadu,46.51,63.56,6.59,85.92,56.1,26.66,2020,50
IR-M-U-0747,Chandigarh University,Mohali,Punjab,46.4,71.79,5.85,73.89,81.64,1.56,2020,51
IR-M-I-1408,International Management Institute,Kolkata,West Bengal,46.22,69.83,9.6,75.77,63.17,9.23,2020,52
IR-M-I-1238,Institute for Financial Management and Research,"Sri City, Chittoor",Andhra Pradesh,46.16,63.66,7.36,84.69,73.93,5.22,2020,53
IR-M-I-1480,Thapar Institute of Engineering & Technology,Patiala,Punjab,46.14,62.21,35.18,53.86,58.48,3.06,2020,54
IR-M-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,45.89,60.46,42.81,42.5,46.78,17.31,2020,55
IR-M-S-220,K. J. Somaiya Institute of Management Studies & Research,Mumbai,Maharashtra,45.5,68.65,4.55,84.19,60.3,6.6,2020,56
